vector,depth,decision,warrant,succeeded
typosquatting,1,reject,0,False
typosquatting,2,reject,0,False
typosquatting,3,reject,0,False
typosquatting,4,reject,0,False
typosquatting,5,reject,0,False
stale_allowlist,1,accept,4,True
stale_allowlist,2,accept,3,True
stale_allowlist,3,down_weight,2,False
stale_allowlist,4,down_weight,1,False
stale_allowlist,5,quarantine,0,False
credential_leak,1,accept,4,True
credential_leak,2,accept,3,True
credential_leak,3,down_weight,2,False
credential_leak,4,down_weight,1,False
credential_leak,5,quarantine,0,False
legitimate_origin_compromise,1,accept,4,True
legitimate_origin_compromise,2,accept,3,True
legitimate_origin_compromise,3,down_weight,2,False
legitimate_origin_compromise,4,down_weight,1,False
legitimate_origin_compromise,5,quarantine,0,False
trust_bootstrap_abuse,1,accept,3,True
trust_bootstrap_abuse,2,down_weight,2,False
trust_bootstrap_abuse,3,down_weight,1,False
trust_bootstrap_abuse,4,quarantine,0,False
trust_bootstrap_abuse,5,quarantine,0,False
