budget,strategy,mean_asr,mean_efficiency
10.0,random,0.0516,0.4634
10.0,max_warrant,0.1008,0.9773
10.0,min_cost,0.0999,0.9227
10.0,wgot,0.171,1.5432
20.0,random,0.097,0.4302
20.0,max_warrant,0.1901,0.9018
20.0,min_cost,0.1727,0.7798
20.0,wgot,0.2895,1.2791
40.0,random,0.1749,0.3819
40.0,max_warrant,0.3355,0.7836
40.0,min_cost,0.3069,0.6777
40.0,wgot,0.4555,0.9911
80.0,random,0.3041,0.3277
80.0,max_warrant,0.6198,0.7005
80.0,min_cost,0.4665,0.5103
80.0,wgot,0.6966,0.7532
160.0,random,0.5741,0.3064
160.0,max_warrant,0.9894,0.5252
160.0,min_cost,0.7298,0.3981
160.0,wgot,0.9844,0.525
