jump_threshold,tpr_naive,tpr_naive_lo,tpr_naive_hi,tpr_gradual,tpr_gradual_lo,tpr_gradual_hi,fpr,fpr_lo,fpr_hi
0.25,1.0,0.9812,1.0,1.0,0.9812,1.0,0.92,0.8892,0.9428
0.5,1.0,0.9812,1.0,1.0,0.9812,1.0,0.695,0.6482,0.7381
0.75,1.0,0.9812,1.0,1.0,0.9812,1.0,0.415,0.3677,0.4639
1.0,1.0,0.9812,1.0,1.0,0.9812,1.0,0.235,0.1961,0.279
1.25,1.0,0.9812,1.0,1.0,0.9812,1.0,0.15,0.1183,0.1883
1.5,1.0,0.9812,1.0,0.98,0.9497,0.9922,0.105,0.0786,0.1389
1.75,1.0,0.9812,1.0,0.935,0.892,0.9616,0.0825,0.0593,0.1136
2.0,0.995,0.9722,0.9991,0.79,0.7284,0.8407,0.045,0.0287,0.07
2.25,0.975,0.9428,0.9893,0.655,0.5868,0.7174,0.0225,0.0119,0.0422
2.5,0.925,0.88,0.954,0.48,0.4118,0.549,0.0125,0.0054,0.0289
2.75,0.825,0.7664,0.8714,0.28,0.2224,0.3459,0.0075,0.0026,0.0218
3.0,0.74,0.6751,0.7959,0.135,0.0945,0.1893,0.0025,0.0004,0.014
3.25,0.605,0.5359,0.6702,0.08,0.0498,0.126,0.0,0.0,0.0095
3.5,0.475,0.4069,0.544,0.015,0.0051,0.0432,0.0,0.0,0.0095
3.75,0.36,0.2967,0.4286,0.0,0.0,0.0188,0.0,0.0,0.0095
4.0,0.185,0.1373,0.2446,0.0,0.0,0.0188,0.0,0.0,0.0095
4.25,0.115,0.0779,0.1666,0.0,0.0,0.0188,0.0,0.0,0.0095
4.5,0.045,0.0239,0.0833,0.0,0.0,0.0188,0.0,0.0,0.0095
