source_class,transform,hops,decision,over_blocked,hard_fp
AUTHORITATIVE_API,verbatim,2,accept,0,0
AUTHORITATIVE_API,verbatim,3,accept,0,0
AUTHORITATIVE_API,verbatim,4,accept,0,0
AUTHORITATIVE_API,verbatim,5,accept,0,0
AUTHORITATIVE_API,verbatim,6,accept,0,0
AUTHORITATIVE_API,verbatim,7,accept,0,0
AUTHORITATIVE_API,paraphrase,2,accept,0,0
AUTHORITATIVE_API,paraphrase,3,down_weight,1,0
AUTHORITATIVE_API,paraphrase,4,down_weight,1,0
AUTHORITATIVE_API,paraphrase,5,quarantine,1,1
AUTHORITATIVE_API,paraphrase,6,quarantine,1,1
AUTHORITATIVE_API,paraphrase,7,quarantine,1,1
AUTHORITATIVE_API,summary,2,accept,0,0
AUTHORITATIVE_API,summary,3,down_weight,1,0
AUTHORITATIVE_API,summary,4,down_weight,1,0
AUTHORITATIVE_API,summary,5,quarantine,1,1
AUTHORITATIVE_API,summary,6,quarantine,1,1
AUTHORITATIVE_API,summary,7,quarantine,1,1
VERIFIED_DOCUMENT,verbatim,2,accept,0,0
VERIFIED_DOCUMENT,verbatim,3,accept,0,0
VERIFIED_DOCUMENT,verbatim,4,accept,0,0
VERIFIED_DOCUMENT,verbatim,5,accept,0,0
VERIFIED_DOCUMENT,verbatim,6,accept,0,0
VERIFIED_DOCUMENT,verbatim,7,accept,0,0
VERIFIED_DOCUMENT,paraphrase,2,accept,0,0
VERIFIED_DOCUMENT,paraphrase,3,down_weight,1,0
VERIFIED_DOCUMENT,paraphrase,4,down_weight,1,0
VERIFIED_DOCUMENT,paraphrase,5,quarantine,1,1
VERIFIED_DOCUMENT,paraphrase,6,quarantine,1,1
VERIFIED_DOCUMENT,paraphrase,7,quarantine,1,1
VERIFIED_DOCUMENT,summary,2,accept,0,0
VERIFIED_DOCUMENT,summary,3,down_weight,1,0
VERIFIED_DOCUMENT,summary,4,down_weight,1,0
VERIFIED_DOCUMENT,summary,5,quarantine,1,1
VERIFIED_DOCUMENT,summary,6,quarantine,1,1
VERIFIED_DOCUMENT,summary,7,quarantine,1,1
FIRST_PARTY_DB,verbatim,2,accept,0,0
FIRST_PARTY_DB,verbatim,3,accept,0,0
FIRST_PARTY_DB,verbatim,4,accept,0,0
FIRST_PARTY_DB,verbatim,5,accept,0,0
FIRST_PARTY_DB,verbatim,6,accept,0,0
FIRST_PARTY_DB,verbatim,7,accept,0,0
FIRST_PARTY_DB,paraphrase,2,down_weight,1,0
FIRST_PARTY_DB,paraphrase,3,down_weight,1,0
FIRST_PARTY_DB,paraphrase,4,quarantine,1,1
FIRST_PARTY_DB,paraphrase,5,quarantine,1,1
FIRST_PARTY_DB,paraphrase,6,quarantine,1,1
FIRST_PARTY_DB,paraphrase,7,quarantine,1,1
FIRST_PARTY_DB,summary,2,down_weight,1,0
FIRST_PARTY_DB,summary,3,down_weight,1,0
FIRST_PARTY_DB,summary,4,quarantine,1,1
FIRST_PARTY_DB,summary,5,quarantine,1,1
FIRST_PARTY_DB,summary,6,quarantine,1,1
FIRST_PARTY_DB,summary,7,quarantine,1,1
PUBLIC_WEBPAGE,verbatim,2,accept,0,0
PUBLIC_WEBPAGE,verbatim,3,accept,0,0
PUBLIC_WEBPAGE,verbatim,4,accept,0,0
PUBLIC_WEBPAGE,verbatim,5,accept,0,0
PUBLIC_WEBPAGE,verbatim,6,accept,0,0
PUBLIC_WEBPAGE,verbatim,7,accept,0,0
PUBLIC_WEBPAGE,paraphrase,2,down_weight,1,0
PUBLIC_WEBPAGE,paraphrase,3,down_weight,1,0
PUBLIC_WEBPAGE,paraphrase,4,quarantine,1,1
PUBLIC_WEBPAGE,paraphrase,5,quarantine,1,1
PUBLIC_WEBPAGE,paraphrase,6,quarantine,1,1
PUBLIC_WEBPAGE,paraphrase,7,quarantine,1,1
PUBLIC_WEBPAGE,summary,2,down_weight,1,0
PUBLIC_WEBPAGE,summary,3,down_weight,1,0
PUBLIC_WEBPAGE,summary,4,quarantine,1,1
PUBLIC_WEBPAGE,summary,5,quarantine,1,1
PUBLIC_WEBPAGE,summary,6,quarantine,1,1
PUBLIC_WEBPAGE,summary,7,quarantine,1,1
EDITABLE_SOURCE,verbatim,2,down_weight,1,0
EDITABLE_SOURCE,verbatim,3,down_weight,1,0
EDITABLE_SOURCE,verbatim,4,down_weight,1,0
EDITABLE_SOURCE,verbatim,5,down_weight,1,0
EDITABLE_SOURCE,verbatim,6,down_weight,1,0
EDITABLE_SOURCE,verbatim,7,down_weight,1,0
EDITABLE_SOURCE,paraphrase,2,quarantine,1,1
EDITABLE_SOURCE,paraphrase,3,quarantine,1,1
EDITABLE_SOURCE,paraphrase,4,quarantine,1,1
EDITABLE_SOURCE,paraphrase,5,quarantine,1,1
EDITABLE_SOURCE,paraphrase,6,quarantine,1,1
EDITABLE_SOURCE,paraphrase,7,quarantine,1,1
EDITABLE_SOURCE,summary,2,quarantine,1,1
EDITABLE_SOURCE,summary,3,quarantine,1,1
EDITABLE_SOURCE,summary,4,quarantine,1,1
EDITABLE_SOURCE,summary,5,quarantine,1,1
EDITABLE_SOURCE,summary,6,quarantine,1,1
EDITABLE_SOURCE,summary,7,quarantine,1,1
