origin_class,ceiling,hops,decision,warrant
authoritative_api,4,1,accept,4
authoritative_api,4,2,accept,3
authoritative_api,4,3,down_weight,2
authoritative_api,4,4,down_weight,1
verified_document,4,1,accept,4
verified_document,4,2,accept,3
verified_document,4,3,down_weight,2
verified_document,4,4,down_weight,1
first_party_db,3,1,accept,3
first_party_db,3,2,down_weight,2
first_party_db,3,3,down_weight,1
first_party_db,3,4,quarantine,0
public_webpage,3,1,accept,3
public_webpage,3,2,down_weight,2
public_webpage,3,3,down_weight,1
public_webpage,3,4,quarantine,0
editable_source,1,1,down_weight,1
editable_source,1,2,quarantine,0
editable_source,1,3,quarantine,0
editable_source,1,4,quarantine,0
untrusted_tool,1,1,down_weight,1
untrusted_tool,1,2,quarantine,0
untrusted_tool,1,3,quarantine,0
untrusted_tool,1,4,quarantine,0
model_memory,1,1,down_weight,1
model_memory,1,2,quarantine,0
model_memory,1,3,quarantine,0
model_memory,1,4,quarantine,0
unknown,0,1,quarantine,0
unknown,0,2,quarantine,0
unknown,0,3,quarantine,0
unknown,0,4,quarantine,0
