rho,actual_rho,strategy,mean_asr,asr_lo,asr_hi,mean_efficiency,eff_lo,eff_hi,n_seeds
-1.0,-0.953,random,0.185,0.1601,0.2104,0.4374,0.376,0.5036,30
-1.0,-0.953,max_warrant,0.5928,0.5709,0.6155,1.5283,1.4606,1.6003,30
-1.0,-0.953,min_cost,0.6035,0.58,0.6278,1.582,1.5145,1.6508,30
-1.0,-0.953,wgot,0.6035,0.58,0.6278,1.582,1.5145,1.6508,30
-0.5,-0.45,random,0.1913,0.1691,0.2139,0.4314,0.3715,0.4922,30
-0.5,-0.45,max_warrant,0.4426,0.4097,0.4815,1.0853,1.0295,1.1433,30
-0.5,-0.45,min_cost,0.4526,0.4242,0.4837,1.0725,0.9992,1.1545,30
-0.5,-0.45,wgot,0.5665,0.5398,0.5967,1.3165,1.2612,1.3726,30
0.0,-0.006,random,0.1749,0.1597,0.1916,0.3819,0.3422,0.4266,30
0.0,-0.006,max_warrant,0.3355,0.3093,0.3605,0.7836,0.7416,0.8266,30
0.0,-0.006,min_cost,0.3069,0.2798,0.3332,0.6777,0.6094,0.7439,30
0.0,-0.006,wgot,0.4555,0.4344,0.4764,0.9911,0.9358,1.042,30
0.5,0.404,random,0.1507,0.1305,0.1714,0.3369,0.2854,0.3949,30
0.5,0.404,max_warrant,0.2501,0.2351,0.2666,0.6111,0.5861,0.6368,30
0.5,0.404,min_cost,0.1898,0.168,0.2132,0.4139,0.3585,0.4753,30
0.5,0.404,wgot,0.3749,0.3549,0.3988,0.8162,0.7701,0.8695,30
1.0,0.95,random,0.1297,0.1186,0.1395,0.2962,0.2707,0.319,30
1.0,0.95,max_warrant,0.1658,0.1578,0.1734,0.4178,0.4087,0.4283,30
1.0,0.95,min_cost,0.0,0.0,0.0,0.0,0.0,0.0,30
1.0,0.95,wgot,0.23,0.2179,0.2414,0.4803,0.472,0.4886,30
