topology,n_agents,n_sources,n_principals,pre_surface,post_surface,collapse_ratio,collapse_factor,n_chokepoints,total_high_value_claims,top3_coverage,seed
star_hub,2,18,40,20,9,0.45,2.2222222222222223,9,84,0.7619047619047619,0
star_hub,2,18,40,20,3,0.15,6.666666666666667,3,64,1.0,1
star_hub,2,18,40,20,3,0.15,6.666666666666667,3,64,1.0,2
star_hub,2,18,40,20,4,0.2,5.0,4,70,0.9142857142857143,3
star_hub,2,18,40,20,6,0.3,3.3333333333333335,6,77,0.8311688311688312,4
star_hub,2,18,40,20,6,0.3,3.3333333333333335,6,77,0.8311688311688312,5
star_hub,2,18,40,20,7,0.35,2.857142857142857,7,80,0.8,6
star_hub,2,18,40,20,9,0.45,2.2222222222222223,9,84,0.7619047619047619,7
star_hub,2,18,40,20,8,0.4,2.5,8,82,0.7804878048780488,8
star_hub,2,18,40,20,3,0.15,6.666666666666667,3,64,1.0,9
star_hub,2,18,40,20,6,0.3,3.3333333333333335,6,77,0.8311688311688312,10
star_hub,2,18,40,20,9,0.45,2.2222222222222223,9,84,0.7619047619047619,11
star_hub,2,18,40,20,7,0.35,2.857142857142857,7,80,0.8,12
star_hub,2,18,40,20,7,0.35,2.857142857142857,7,80,0.8,13
star_hub,2,18,40,20,3,0.15,6.666666666666667,3,64,1.0,14
star_hub,2,18,40,20,7,0.35,2.857142857142857,7,80,0.8,15
star_hub,2,18,40,20,4,0.2,5.0,4,70,0.9142857142857143,16
star_hub,2,18,40,20,7,0.35,2.857142857142857,7,80,0.8,17
star_hub,2,18,40,20,7,0.35,2.857142857142857,7,80,0.8,18
star_hub,2,18,40,20,9,0.45,2.2222222222222223,9,84,0.7619047619047619,19
star_hub,2,18,40,20,7,0.35,2.857142857142857,7,80,0.8,20
star_hub,2,18,40,20,3,0.15,6.666666666666667,3,64,1.0,21
star_hub,2,18,40,20,3,0.15,6.666666666666667,3,64,1.0,22
star_hub,2,18,40,20,6,0.3,3.3333333333333335,6,77,0.8311688311688312,23
star_hub,2,18,40,20,6,0.3,3.3333333333333335,6,77,0.8311688311688312,24
