noise_sigma,probe_budget,probes_per_origin,mean_asr,asr_lo,asr_hi,frac_of_perfect,perfect_asr,random_asr,n_seeds
0.1,0,0,0.3089,0.2848,0.334,0.6716,0.46,0.1655,30
0.1,50,1,0.4554,0.4294,0.4816,0.9901,0.46,0.1655,30
0.1,100,2,0.46,0.4336,0.4868,1.0001,0.46,0.1655,30
0.1,200,4,0.461,0.4347,0.4883,1.0023,0.46,0.1655,30
0.1,400,8,0.4583,0.4339,0.4837,0.9964,0.46,0.1655,30
0.1,800,16,0.4611,0.4354,0.4864,1.0024,0.46,0.1655,30
0.25,0,0,0.3089,0.2848,0.334,0.6716,0.46,0.1655,30
0.25,50,1,0.4321,0.4043,0.4603,0.9395,0.46,0.1655,30
0.25,100,2,0.4485,0.423,0.4745,0.9749,0.46,0.1655,30
0.25,200,4,0.4539,0.4295,0.479,0.9868,0.46,0.1655,30
0.25,400,8,0.455,0.4305,0.4801,0.9891,0.46,0.1655,30
0.25,800,16,0.4539,0.4287,0.4795,0.9867,0.46,0.1655,30
0.4,0,0,0.3089,0.2848,0.334,0.6716,0.46,0.1655,30
0.4,50,1,0.3868,0.368,0.4048,0.8408,0.46,0.1655,30
0.4,100,2,0.4116,0.3891,0.4341,0.8947,0.46,0.1655,30
0.4,200,4,0.4346,0.4111,0.4586,0.9449,0.46,0.1655,30
0.4,400,8,0.4324,0.4065,0.4586,0.94,0.46,0.1655,30
0.4,800,16,0.4389,0.4168,0.462,0.9542,0.46,0.1655,30
