scenario,defense,round,mean,ci_lo,ci_hi
manipulated,no_defense,0,0.05,0.05,0.05
manipulated,no_defense,1,0.1625,0.1475,0.1775
manipulated,no_defense,2,0.3625,0.325,0.405
manipulated,no_defense,3,0.6125,0.5675,0.655
manipulated,no_defense,4,0.815,0.7725,0.855
manipulated,no_defense,5,0.93,0.9025,0.9525
manipulated,no_defense,6,0.985,0.975,0.995
manipulated,no_defense,7,0.9925,0.985,1.0
manipulated,no_defense,8,0.9975,0.9925,1.0
manipulated,flat_provenance,0,0.05,0.05,0.05
manipulated,flat_provenance,1,0.165,0.145,0.1825
manipulated,flat_provenance,2,0.3775,0.33,0.4225
manipulated,flat_provenance,3,0.6125,0.55,0.675
manipulated,flat_provenance,4,0.8275,0.785,0.8675
manipulated,flat_provenance,5,0.925,0.8975,0.95
manipulated,flat_provenance,6,0.97,0.955,0.985
manipulated,flat_provenance,7,0.985,0.975,0.995
manipulated,flat_provenance,8,0.995,0.9875,1.0
manipulated,capm,0,0.05,0.05,0.05
manipulated,capm,1,0.05,0.05,0.05
manipulated,capm,2,0.05,0.05,0.05
manipulated,capm,3,0.05,0.05,0.05
manipulated,capm,4,0.05,0.05,0.05
manipulated,capm,5,0.05,0.05,0.05
manipulated,capm,6,0.05,0.05,0.05
manipulated,capm,7,0.05,0.05,0.05
manipulated,capm,8,0.05,0.05,0.05
honest_control,capm,0,0.05,0.05,0.05
honest_control,capm,1,0.1725,0.1425,0.2025
honest_control,capm,2,0.39,0.33,0.455
honest_control,capm,3,0.63,0.565,0.6975
honest_control,capm,4,0.8225,0.7625,0.8825
honest_control,capm,5,0.915,0.8775,0.95
honest_control,capm,6,0.97,0.9475,0.99
honest_control,capm,7,0.985,0.9725,0.995
honest_control,capm,8,0.9925,0.985,1.0
